~Version	Information	Section															
	VERS.	3.0	:														
	WRAP.	NO	:														
	DLM	.	Comma	:													
	MERG.	YES	:Data	merged	using	LAS	tools	(www.logtechcan.com)									
~Well	Information	Section															
#MNEM.UNIT	VALUE/NAME	DESCRIPTION															
#----.----	----------------------------------	--------------------															
	STRT.M	1720.4000	:														
	STOP.M	2382.8000	:														
	STEP.M	0.2000	:														
	NULL.	-999.2500	:														
	COMP.	:															
	WELL.	1551	:														
	FLD	.	:														
	LOC	.	:														
	SRVC.	:															
	DATE.	Sep	21/2016	:													
	CTRY.	:															
	PROV.	:															
	UWI	.	:														
	LIC	.	:														
	LATI.	:															
	LONG.	:															
	GDAT.	NAD83	:														
~Curve	Information	Section															
#MNEM	.UNIT	API	CODE	CURVE	DESCRIPTION												
#----	.----	LG--CV-CL--M	-------------------------														
	1779.4000	34.6494	май.05	1621.1961													
	1779.6000	34.4204	май.80	1621.3856													
	1779.8000	33.9684	май.36	1621.5750													
	1780.0000	35.5691	май.90	1621.7644													
	1780.2000	33.9319	май.03	1621.9539													
	1780.4000	32.2589	май.42	1622.1433													
	1780.6000	31.1098	май.03	1622.3328													
	1780.8000	30.4540	6.0071	1622.5223													
	1781.0000	30.1461	июн.65	1622.7117													
	1781.2000	30.0456	7.0291	1622.9011													
	1781.4000	30.0598	8.0441	1623.0906													
	1781.6000	30.1563	сен.09	1623.2800													
	1781.8000	30.3479	окт.17	1623.4694													
	1782.0000	30.6552	дек.69	1623.6589													
	1782.2000	31.0669	14.1916	1623.8484													
	1782.4000	31.5214	15.8917	1624.0378													
	1782.6000	31.9267	17.5982	1624.2272													
	1782.8000	32.2110	19.1255	1624.4167													
	1783.0000	32.3783	20.0097	1624.6061													
	1783.2000	32.5074	19.4331	1624.7956													
	1783.4000	32.5978	16.2047	1624.9850													
	1783.6000	32.2596	сен.62	1625.1744													
	1783.8000	32.5111	июл.16	1625.3639													
	1784.0000	33.5534	8.1713	1625.5533													
	1784.2000	34.2327	авг.53	1625.7428													
	1784.4000	34.6285	8.0797	1625.9322													
	1784.6000	34.6768	авг.43	1626.1217													
	1784.8000	34.4079	сен.02	1626.3111													
	1785.0000	33.9909	ноя.34	1626.5006													
	1785.2000	33.6206	14.7755	1626.6900													
	1785.4000	33.4103	18.8101	1626.8794													
	1785.6000	33.3612	23.4567	1627.0689													
	1785.8000	33.3984	28.6268	1627.2583													
	1786.0000	33.4309	34.2982	1627.4478													
	1786.2000	33.3961	40.3726	1627.6372													
	1786.4000	33.2728	46.5071	1627.8267													
	1786.6000	33.0771	51.9827	1628.0161													
	1786.8000	32.8832	55.7054	1628.2056													
	1787.0000	32.8826	56.5450	1628.3950													
	1787.2000	33.3725	53.8250	1628.5844													
	1787.4000	34.2968	47.4343	1628.7739													
	1787.6000	32.9705	43.8598	1628.9633													
	1787.8000	33.0902	46.7896	1629.1528													
	1788.0000	33.1854	49.3423	1629.3422													
	1788.2000	33.1589	48.3411	1629.5317													
	1788.4000	33.0698	43.4401	1629.7211													
	1788.6000	32.9892	35.8433	1629.9106													
	1788.8000	32.9343	27.2998	1630.1000													
	1789.0000	32.8685	19.4436	1630.2894													
	1789.2000	32.7469	13.4149	1630.4789													
	1789.4000	32.5593	сен.53	1630.6683													
	1789.6000	32.3389	авг.21	1630.8578													
	1789.8000	32.1396	авг.78	1631.0472													
	1790.0000	32.0070	окт.40	1631.2367													
	1790.2000	31.9653	13.9968	1631.4261													
	1790.4000	32.0216	18.4551	1631.6156													
	1790.6000	32.1780	24.3626	1631.8050													
	1790.8000	32.4266	31.2432	1631.9944													
	1791.0000	32.6691	37.8935	1632.1839													
	1791.2000	32.4798	44.6720	1632.3733													
	1791.4000	33.7434	43.7786	1632.5628													
	1791.6000	33.3220	36.4298	1632.7522													
	1791.8000	33.1389	26.4118	1632.9417													
	1792.0000	33.1554	17.6955	1633.1311													
	1792.2000	33.1462	ноя.50	1633.3205													
	1792.4000	32.9730	авг.29	1633.5100													
	1792.6000	32.6034	8.1716	1633.6994													
	1792.8000	32.0842	авг.91	1633.8889													
	1793.0000	31.5086	сен.31	1634.0783													
	1793.2000	30.9827	окт.76	1634.2678													
	1793.4000	30.5939	10.1263	1634.4572													
	1793.6000	30.3893	9.1408	1634.6466													
	1793.8000	30.3703	июл.92	1634.8361													
	1794.0000	30.4998	6.0106	1635.0256													
	1794.2000	30.7071	апр.68	1635.2150													
	1794.4000	30.8847	4.1045	1635.4044													
	1794.6000	30.9182	4.0219	1635.5939													
	1794.8000	30.8883	апр.74	1635.7833													
	1795.0000	31.6067	апр.05	1635.9728													
	1795.2000	31.0137	апр.21	1636.1622													
	1795.4000	31.3840	5.0872	1636.3517													
	1795.6000	31.2880	5.1469	1636.5414													
	1795.8000	30.9932	май.12	1636.7313													
	1796.0000	30.8046	май.95	1636.9216													
	1796.2000	30.7987	май.86	1637.1123													
	1796.4000	30.9220	май.65	1637.3032													
	1796.6000	31.1102	6.0926	1637.4944													
	1796.8000	31.3188	июн.28	1637.6858													
	1797.0000	31.4971	июн.59	1637.8773													
	1797.2000	31.5840	6.1755	1638.0688													
	1797.4000	31.5487	май.35	1638.2602													
	1797.6000	31.4313	май.38	1638.4517													
	1797.8000	31.3229	май.15	1638.6431													
	1798.0000	31.2816	апр.26	1638.8346													
	1798.2000	31.2604	апр.96	1639.0261													
	1798.4000	31.1329	апр.63	1639.2176													
	1798.6000	30.8118	апр.36	1639.4091													
	1798.8000	30.3460	май.76	1639.6005													
	1799.0000	29.8835	авг.36	1639.7920													
	1799.2000	29.5094	18.6035	1639.9834													
	1799.4000	28.9715	40.0967	1640.1749													
	1799.6000	28.3012	39.3629	1640.3663													
	1799.8000	28.7164	30.9482	1640.5578													
	1800.0000	28.6861	22.3716	1640.7493													
	1800.2000	28.5234	15.1566	1640.9407													
	1800.4000	29.0824	10.1396	1641.1322													
	1800.6000	30.7760	июл.16	1641.3237													
	1800.8000	33.3540	июн.12	1641.5151													
	1801.0000	36.1744	июн.91	1641.7066													
	1801.2000	38.5850	июн.49	1641.8980													
